	zchaff        DPLL solver

Caso1	0.000161      43.2131028175354
Caso2	0.000149      626.6806128025055
Caso3	0.000158
Caso4	0.00016
Caso5	0.000144
Caso6	0.000192
Caso7	0.000217
Caso8	0.00062
Caso9	0.000168
Caso10	0.00022
Caso11	0.000218
Caso12	0.000158
Caso13	0.000455
Caso14	0.000524
Caso15	0.000293
Caso16	0.000173
Caso17	0.00016
Caso18	0.000176
Caso19	0.000156
Caso20	0.000179
Caso21	0.001582
Caso22	0.000268
Caso23	0.00014
Caso24	0.000319
Caso25	0.003369
Caso26	0.000291
Caso27	0.000262
Caso28	0.000146
Caso29	0.000141
Caso30	0.00014
Caso31	0.000192
Caso32	0.000434
Caso33	0.000507
Caso34	0.002273
Caso35	0.000383
Caso36	0.006141
Caso37	0.000172
Caso38	0.000161
Caso39	0.000141
Caso40	0.000235
Caso41	0.000258
Caso42	0.000206
Caso43	0.001099
Caso44	0.000998
Caso45	0.010589
Caso46	0.000269
