| Caso | zchaff (tiempo en segundos) | DPLL solver entrega 1  (tiempo en segundos) | DPLL solver entrega 2  (tiempo en segundos) |
|------|-----------------------------|---------------------------------------------|---------------------------------------------|
| 1    | 0.000161                    | 43.2131028175354                            | 0.0325469970703125                          |
| 2    | 0.000149                    | 626.6806128025055                           | 0.03179574012756348                         |
| 3    | 0.000158                    | 3220.3500497341156                          | 0.03406095504760742                         |
| 4    | 0.00016                     | 3073.1158742904663                          | 0.2751278877258301                          |
| 5    | 0.000144                    |                                             | 0.03142666816711426                         |
| 6    | 0.000192                    |                                             | 0.031447649002075195                        |
| 7    | 0.000217                    |                                             | 0.032824039459228516                        |
| 8    | 0.00062                     |                                             | 0.06815552711486816                         |
| 9    | 0.000168                    |                                             | 4.262210130691528                           |
| 10   | 0.00022                     |                                             | 0.03124523162841797                         |
| 11   | 0.000218                    |                                             | 25.02929973602295                           |
| 12   | 0.000158                    |                                             | 0.03038763999938965                         |
| 13   | 0.000455                    |                                             | 0.03967738151550293                         |
| 14   | 0.000524                    |                                             | 0.051631927490234375                        |
| 15   | 0.000293                    |                                             | 0.5710747241973877                          |
| 16   | 0.000173                    |                                             | 0.03084278106689453                         |
| 17   | 0.00016                     |                                             | 0.03157806396484375                         |
| 18   | 0.000176                    |                                             | 0.03385567665100098                         |
| 19   | 0.000156                    |                                             | 0.03203845024108887                         |
| 20   | 0.000179                    |                                             | 0.030948162078857422                        |
| 21   | 0.001582                    |                                             |                                             |
| 22   | 0.000268                    |                                             |                                             |
| 23   | 0.00014                     |                                             |                                             |
| 24   | 0.000319                    |                                             |                                             |
| 25   | 0.003369                    |                                             |                                             |
| 26   | 0.000291                    |                                             |                                             |
| 27   | 0.000262                    |                                             |                                             |
| 28   | 0.000146                    |                                             |                                             |
| 29   | 0.000141                    |                                             |                                             |
| 30   | 0.00014                     |                                             |                                             |
| 31   | 0.000192                    |                                             |                                             |
| 32   | 0.000434                    |                                             |                                             |
| 33   | 0.000507                    |                                             |                                             |
| 34   | 0.002273                    |                                             |                                             |
| 35   | 0.000383                    |                                             |                                             |
| 36   | 0.006141                    |                                             |                                             |
| 37   | 0.000172                    |                                             |                                             |
| 38   | 0.000161                    |                                             |                                             |
| 39   | 0.000141                    |                                             |                                             |
| 40   | 0.000235                    |                                             |                                             |
| 41   | 0.000258                    |                                             |                                             |
| 42   | 0.000206                    |                                             |                                             |
| 43   | 0.001099                    |                                             |                                             |
| 44   | 0.000998                    |                                             |                                             |
| 45   | 0.010589                    |                                             |                                             |
| 46   | 0.000269                    |                                             |                                             |
